Epoch,Inc_Validation Accuracy,Inc_Validationl Loss,Inc_Train Loss,Inc_Train Accuracy,Inc_Training Time,eb4_Validation Accuracy,eb4_Validation Loss,eb4_Train Loss,eb4_Train Accuracy,eb4_Training Time (sec),d121_Validation Accuracy,d121_Validation Loss,d121_Train Loss,d121_Train Accuracy,d121_Training Time (sec),r50_Validation Accuracy,r50_Validation Loss,r50_Train Loss,r50_Train Accuracy,r50_Training Time (sec),mob_Validation Accuracy,mob_Validation Loss,mob_Train Loss,mob_Train Accuracy,mob_Training Time (sec),,
37,0.9106583,0.33007592,0.346896082,0.887357116,86.96055317,0.28996864,2.135205507,2.272087336,0.208809689,86.5359714,0.927899659,0.232364923,0.272762895,0.916610599,90.83545995,0.446708471,1.771189332,1.934432864,0.364828527,96.84926939,0.929467,0.270504,0.221691,0.927707,105.000531,,
38,0.913793087,0.327159494,0.346694678,0.887357116,86.49056864,0.253918499,2.142852545,2.262588978,0.219905853,86.17614555,0.929467082,0.2324671,0.275250077,0.918628097,90.68892646,0.44200626,1.76567781,1.903246641,0.374915928,94.80029106,0.9279,0.254302,0.225753,0.926698,107.225935,,
39,0.916927874,0.327011764,0.341999561,0.889374554,87.45001984,0.288401246,2.129092216,2.246801138,0.226967052,85.81524754,0.932601869,0.22056219,0.268773228,0.91492939,92.04781437,0.462382436,1.746358991,1.910182953,0.375924677,96.15734363,0.926332,0.26584,0.227654,0.927371,106.63539,,
40,0.904388726,0.327554762,0.314016074,0.895763278,87.06850362,0.282131672,2.142578363,2.256874084,0.224613309,85.53945756,0.924764872,0.229857653,0.269290775,0.916274369,91.55946398,0.434169292,1.754188299,1.913707495,0.372898459,95.88298726,0.934169,0.247926,0.21816,0.933087,107.412918,,
41,0.920062721,0.319416761,0.328264117,0.894082069,86.94724464,0.291536063,2.124149799,2.256550074,0.226967052,85.84864116,0.931034505,0.219010383,0.258781374,0.918291867,91.56874657,0.460815042,1.738912702,1.898756504,0.381640881,95.06959724,0.929467,0.248135,0.215647,0.933759,108.87705,,
42,0.91536051,0.315962464,0.322497398,0.895763278,86.69713306,0.246081501,2.125578403,2.251524687,0.22864829,85.97435498,0.926332295,0.220690787,0.250523567,0.919973075,91.75972986,0.449843258,1.744553685,1.899855852,0.380632132,96.18523669,0.934169,0.259437,0.211884,0.932414,109.15156,,
43,0.907523513,0.329873025,0.319128215,0.895427048,86.97925091,0.255485892,2.127796173,2.250041246,0.224949569,86.66701698,0.929467082,0.215365753,0.250924021,0.918964386,92.71990442,0.462382436,1.733230233,1.890665889,0.392400801,95.07365847,0.929467,0.25645,0.209536,0.937122,109.750403,,
44,0.91536051,0.318097562,0.305984765,0.898117006,86.96197486,0.286833853,2.121598005,2.235043764,0.229993269,86.15183783,0.931034505,0.221345723,0.236154199,0.929388046,93.18599296,0.445141077,1.726530552,1.889126658,0.383658379,95.5428257,0.931035,0.251276,0.195783,0.94351,107.299581,,
45,0.9106583,0.318441898,0.29523164,0.907195687,86.42762065,0.258620679,2.124888659,2.243498564,0.225622058,87.7035327,0.934169292,0.209017903,0.241908804,0.926025569,93.52785707,0.467084646,1.709687352,1.874209642,0.387357086,95.13631177,0.9279,0.241218,0.191138,0.940484,105.501796,,
46,0.916927874,0.309274912,0.31494087,0.900807023,86.57274103,0.302507848,2.1164217,2.239499569,0.22831203,86.51383233,0.934169292,0.217882425,0.244101465,0.920981824,93.48569131,0.467084646,1.709503293,1.871706009,0.388029575,94.86633205,0.934169,0.252328,0.179349,0.946873,104.559835,,
47,0.912225723,0.30763638,0.294289678,0.909213185,86.7322247,0.260188073,2.11867547,2.227265596,0.231674507,86.21562171,0.935736656,0.206499651,0.241178498,0.926698029,94.1798315,0.452978045,1.704508305,1.850548506,0.403496981,95.86049438,0.92163,0.255892,0.189838,0.941829,104.699699,,
48,0.91536051,0.303619802,0.289112717,0.905850708,85.96911812,0.285266459,2.11412859,2.246277094,0.232683256,86.1834166,0.929467082,0.21077852,0.245464832,0.92501682,93.58584595,0.467084646,1.708943963,1.841654181,0.399798244,94.51914811,0.9279,0.243738,0.177759,0.947882,104.406538,,
49,0.9106583,0.310222179,0.29036808,0.910221934,86.27962255,0.335423201,2.109602213,2.239101887,0.229993269,85.68268323,0.932601869,0.207509205,0.232621998,0.929388046,91.96705484,0.46865204,1.70412302,1.849698544,0.393073291,95.19098496,0.9279,0.24932,0.177971,0.943847,104.769501,,
50,0.912225723,0.309398413,0.291117877,0.906859457,86.61215186,0.310344815,2.103540421,2.231920242,0.236381978,86.40458059,0.929467082,0.20428364,0.236612186,0.922663093,92.34646225,0.474921644,1.696797252,1.850170016,0.398117006,94.38628697,0.92163,0.248577,0.174943,0.945192,104.096424,,
